Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Authentication,Chrome 103.0.5060.114,,,2022-07-11 12:47:39,2022-07-11 12:55:30,7m - 50.744s,PASSED
,,,,,,,
Test Cases/Authentication/TC02 - Register Valid and Invalid,Chrome 103.0.5060.114,,,2022-07-11 12:47:40,2022-07-11 12:49:45,2m - 5.614s,PASSED
openBrowser(WebsiteUrl),Chrome 103.0.5060.114,,,2022-07-11 12:47:40,2022-07-11 12:47:52,11.763s,PASSED
delay(5),Chrome 103.0.5060.114,,,2022-07-11 12:47:52,2022-07-11 12:47:57,5.095s,PASSED
"click(findTestObject(""Home/btn_RegisterNowMenu""))",Chrome 103.0.5060.114,,,2022-07-11 12:47:57,2022-07-11 12:47:59,2.334s,PASSED
"clearText(findTestObject(""RegisterNow/input_Username or E-mail""), STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-11 12:47:59,2022-07-11 12:48:33,34.011s,PASSED
"setText(findTestObject(""RegisterNow/setText_UsernameRegister""), username)",Chrome 103.0.5060.114,,,2022-07-11 12:48:33,2022-07-11 12:48:34,0.908s,PASSED
"clearText(findTestObject(""RegisterNow/setText_EmailRegis""))",Chrome 103.0.5060.114,,,2022-07-11 12:48:34,2022-07-11 12:48:35,0.517s,PASSED
"setText(findTestObject(""RegisterNow/setText_EmailRegis""), email)",Chrome 103.0.5060.114,,,2022-07-11 12:48:35,2022-07-11 12:48:36,0.911s,PASSED
"setText(findTestObject(""RegisterNow/setText_PhoneNumber""), phonenumber)",Chrome 103.0.5060.114,,,2022-07-11 12:48:36,2022-07-11 12:48:36,0.886s,PASSED
"setText(findTestObject(""RegisterNow/setText_PasswordRegister""), password)",Chrome 103.0.5060.114,,,2022-07-11 12:48:36,2022-07-11 12:49:40,1m - 3.262s,PASSED
"setText(findTestObject(""RegisterNow/setText_ConfirmPassword""), confirmpassword)",Chrome 103.0.5060.114,,,2022-07-11 12:49:40,2022-07-11 12:49:41,0.904s,PASSED
"setText(findTestObject(""RegisterNow/setText_Address""), address)",Chrome 103.0.5060.114,,,2022-07-11 12:49:41,2022-07-11 12:49:41,0.857s,PASSED
"click(findTestObject(""RegisterNow/btn_RegisterNow""), STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-11 12:49:41,2022-07-11 12:49:44,2.401s,PASSED
